iter	Passed	Remaining
0	146	146429
1	148	74217
2	150	50043
3	152	38024
4	154	30778
5	156	25954
6	158	22525
7	160	19945
8	163	17949
9	165	16337
10	167	15038
11	169	13947
12	171	13024
13	173	12220
14	175	11527
15	177	10930
16	179	10400
17	181	9919
18	183	9485
19	185	9082
20	187	8718
21	188	8392
22	190	8083
23	191	7794
24	193	7529
25	194	7282
26	195	7052
27	196	6831
28	197	6629
29	199	6439
30	200	6258
31	201	6090
32	202	5939
33	203	5786
34	204	5641
35	205	5504
36	206	5378
37	207	5256
38	208	5141
39	209	5028
40	210	4922
41	211	4822
42	212	4724
43	213	4631
44	213	4541
45	214	4456
46	215	4375
47	216	4299
48	217	4222
49	218	4149
50	219	4079
51	220	4012
52	220	3948
53	221	3886
54	222	3827
55	223	3770
56	224	3715
57	225	3663
58	226	3611
59	227	3562
60	228	3514
61	229	3467
62	230	3422
63	230	3377
64	231	3334
65	232	3292
66	233	3252
67	234	3207
68	234	3170
69	235	3134
70	236	3098
71	237	3064
72	238	3031
73	239	2998
74	240	2966
75	241	2934
76	242	2904
77	243	2874
78	244	2845
79	244	2817
80	245	2789
81	246	2763
82	247	2737
83	248	2712
84	249	2683
85	250	2659
86	250	2632
87	251	2608
88	252	2585
89	253	2563
90	254	2540
91	255	2519
92	256	2498
93	257	2477
94	257	2456
95	258	2436
96	259	2416
97	260	2397
98	261	2378
99	262	2359
100	263	2341
101	263	2319
102	264	2302
103	265	2284
104	266	2268
105	266	2251
106	267	2234
107	268	2219
108	269	2203
109	270	2188
110	271	2172
111	272	2157
112	272	2142
113	273	2127
114	274	2113
115	275	2098
116	276	2084
117	277	2071
118	277	2056
119	278	2043
120	279	2031
121	280	2018
122	280	2002
123	281	1990
124	282	1977
125	283	1965
126	284	1953
127	284	1940
128	285	1928
129	286	1917
130	287	1905
131	288	1894
132	288	1883
133	289	1872
134	290	1862
135	291	1851
136	292	1841
137	293	1830
138	294	1821
139	294	1811
140	295	1801
141	296	1791
142	297	1782
143	298	1772
144	299	1764
145	299	1754
146	300	1746
147	301	1737
148	302	1728
149	303	1720
150	304	1711
151	305	1703
152	306	1694
153	306	1686
154	307	1678
155	308	1670
156	309	1661
157	310	1654
158	311	1646
159	312	1638
160	312	1630
161	313	1622
162	314	1615
163	315	1608
164	316	1600
165	317	1593
166	318	1586
167	318	1579
168	319	1573
169	320	1566
170	321	1559
171	322	1553
172	323	1546
173	324	1539
174	325	1533
175	326	1526
176	327	1520
177	327	1514
178	328	1508
179	329	1502
180	330	1494
181	331	1487
182	331	1481
183	332	1475
184	333	1470
185	334	1464
186	335	1458
187	336	1452
188	337	1446
189	337	1440
190	338	1435
191	339	1429
192	340	1423
193	341	1418
194	342	1412
195	343	1407
196	344	1402
197	344	1397
198	345	1391
199	346	1386
200	347	1380
201	348	1375
202	349	1370
203	349	1365
204	350	1360
205	351	1354
206	352	1349
207	353	1344
208	353	1339
209	354	1335
210	355	1330
211	356	1325
212	357	1320
213	358	1316
214	359	1311
215	360	1307
216	360	1302
217	361	1297
218	362	1293
219	363	1288
220	364	1284
221	365	1279
222	366	1275
223	366	1271
224	367	1266
225	368	1262
226	369	1257
227	370	1253
228	371	1249
229	371	1245
230	372	1241
231	373	1237
232	374	1233
233	375	1229
234	376	1226
235	377	1222
236	378	1218
237	379	1214
238	380	1211
239	381	1207
240	382	1203
241	383	1199
242	383	1196
243	384	1192
244	385	1188
245	386	1185
246	387	1181
247	388	1177
248	389	1174
249	390	1170
250	391	1167
251	391	1163
252	392	1160
253	393	1156
254	394	1153
255	395	1149
256	396	1146
257	397	1142
258	398	1139
259	399	1136
260	400	1133
261	401	1129
262	401	1126
263	402	1123
264	403	1120
265	404	1117
266	405	1113
267	406	1110
268	407	1106
269	408	1103
270	409	1100
271	409	1097
272	410	1093
273	411	1090
274	412	1087
275	413	1084
276	414	1081
277	415	1078
278	416	1075
279	416	1072
280	417	1069
281	418	1065
282	419	1062
283	420	1059
284	421	1056
285	422	1053
286	422	1050
287	423	1047
288	424	1044
289	425	1041
290	426	1038
291	427	1036
292	428	1033
293	429	1030
294	429	1027
295	430	1024
296	431	1022
297	432	1019
298	433	1016
299	434	1013
300	435	1011
301	436	1008
302	437	1005
303	438	1003
304	438	1000
305	439	997
306	440	994
307	441	991
308	442	989
309	443	986
310	444	983
311	444	981
312	445	978
313	446	975
314	447	973
315	448	970
316	449	968
317	450	965
318	451	963
319	452	960
320	452	958
321	453	955
322	454	952
323	455	950
324	456	947
325	457	945
326	458	942
327	458	940
328	459	937
329	460	935
330	461	933
331	462	930
332	463	928
333	464	926
334	465	923
335	466	921
336	467	919
337	468	917
338	469	914
339	470	912
340	471	910
341	471	908
342	472	905
343	473	903
344	474	901
345	475	899
346	476	897
347	477	895
348	478	892
349	479	890
350	480	888
351	481	885
352	482	883
353	482	881
354	483	879
355	484	876
356	485	874
357	486	872
358	487	869
359	488	867
360	489	865
361	489	863
362	490	861
363	491	859
364	492	856
365	493	854
366	494	852
367	495	850
368	496	848
369	496	846
370	497	844
371	498	841
372	499	839
373	500	837
374	501	835
375	502	833
376	503	831
377	503	829
378	504	827
379	505	824
380	506	822
381	507	820
382	508	818
383	508	816
384	509	814
385	510	812
386	511	810
387	512	808
388	513	806
389	514	804
390	515	802
391	515	800
392	516	798
393	517	796
394	518	794
395	519	792
396	520	790
397	521	788
398	522	786
399	522	784
400	523	782
401	524	780
402	525	778
403	526	777
404	527	775
405	528	773
406	529	771
407	530	769
408	531	767
409	531	765
410	532	763
411	533	761
412	534	759
413	535	757
414	536	755
415	537	754
416	538	752
417	538	750
418	539	748
419	540	746
420	541	744
421	542	742
422	543	741
423	544	739
424	545	737
425	545	735
426	546	733
427	547	732
428	548	730
429	549	728
430	550	726
431	551	725
432	552	723
433	553	722
434	554	720
435	555	719
436	556	717
437	557	715
438	558	714
439	559	712
440	560	710
441	561	709
442	562	707
443	563	706
444	564	704
445	565	702
446	566	701
447	567	699
448	568	698
449	569	696
450	571	695
451	571	693
452	572	691
453	573	690
454	574	688
455	575	686
456	576	685
457	577	683
458	578	682
459	579	680
460	580	678
461	581	677
462	582	675
463	583	673
464	584	672
465	585	670
466	586	669
467	587	667
468	588	666
469	589	664
470	590	662
471	591	661
472	592	659
473	593	658
474	594	656
475	595	655
476	595	653
477	596	651
478	597	650
479	598	648
480	599	646
481	600	645
482	601	643
483	602	641
484	602	640
485	603	638
486	604	637
487	605	635
488	606	633
489	607	632
490	608	630
491	608	628
492	609	627
493	610	625
494	611	623
495	612	622
496	613	620
497	614	619
498	615	617
499	615	615
500	616	614
