iter	Passed	Remaining
0	149	149762
1	152	76281
2	158	52547
3	161	40152
4	163	32458
5	164	27319
6	166	23644
7	168	20925
8	171	18927
9	174	17242
10	175	15773
11	176	14538
12	177	13504
13	179	12608
14	180	11824
15	182	11232
16	184	10689
17	186	10175
18	187	9695
19	188	9248
20	189	8844
21	190	8475
22	191	8143
23	192	7837
24	193	7554
25	194	7289
26	195	7048
27	197	6843
28	198	6659
29	199	6466
30	200	6282
31	201	6109
32	202	5945
33	203	5790
34	204	5645
35	205	5507
36	206	5378
37	207	5254
38	208	5138
39	209	5026
40	210	4930
41	212	4850
42	214	4766
43	215	4675
44	216	4589
45	217	4506
46	218	4426
47	219	4351
48	220	4279
49	221	4206
50	222	4136
51	223	4069
52	224	4005
53	225	3953
54	229	3936
55	230	3882
56	231	3827
57	232	3773
58	233	3718
59	234	3667
60	235	3620
61	236	3573
62	237	3527
63	238	3482
64	239	3441
65	241	3413
66	243	3387
67	244	3347
68	245	3308
69	246	3270
70	247	3233
71	248	3200
72	249	3165
73	250	3131
74	251	3098
75	252	3066
76	253	3035
77	254	3007
78	256	2990
79	258	2971
80	259	2942
81	260	2914
82	260	2882
83	261	2855
84	262	2830
85	264	2806
86	264	2780
87	265	2755
88	266	2730
89	267	2706
90	268	2683
91	270	2667
92	272	2653
93	273	2636
94	274	2615
95	275	2594
96	276	2573
97	277	2553
98	278	2533
99	279	2513
100	280	2493
101	281	2474
102	281	2455
103	282	2436
104	283	2418
105	285	2406
106	287	2400
107	288	2384
108	289	2367
109	290	2350
110	291	2335
111	292	2320
112	293	2305
113	294	2290
114	295	2277
115	296	2262
116	297	2246
117	298	2232
118	300	2221
119	302	2215
120	303	2203
121	304	2189
122	305	2176
123	306	2164
124	307	2151
125	308	2138
126	309	2125
127	310	2113
128	311	2103
129	312	2092
130	314	2085
131	316	2078
132	317	2067
133	318	2057
134	319	2047
135	320	2037
136	321	2026
137	322	2016
138	323	2006
139	325	1997
140	326	1989
141	327	1977
142	328	1969
143	330	1962
144	331	1953
145	332	1943
146	333	1934
147	334	1925
148	335	1917
149	336	1908
150	337	1899
151	339	1891
152	340	1883
153	341	1877
154	343	1871
155	344	1865
156	345	1857
157	347	1849
158	348	1841
159	349	1833
160	350	1823
161	351	1816
162	352	1808
163	353	1802
164	354	1795
165	355	1788
166	357	1781
167	358	1775
168	359	1769
169	361	1762
170	362	1756
171	363	1749
172	364	1743
173	365	1737
174	367	1731
175	369	1729
176	370	1723
177	371	1716
178	373	1711
179	374	1707
180	375	1700
181	377	1694
182	378	1688
183	379	1682
184	380	1676
185	381	1670
186	382	1664
187	384	1658
188	386	1658
189	388	1655
190	390	1652
191	391	1647
192	392	1642
193	394	1639
194	396	1634
195	397	1629
196	398	1624
197	399	1618
198	400	1613
199	401	1607
200	403	1602
201	404	1597
202	405	1591
203	406	1587
204	408	1583
205	409	1578
206	410	1572
207	411	1567
208	412	1561
209	413	1556
210	414	1551
211	416	1546
212	417	1541
213	418	1537
214	420	1535
215	422	1531
216	423	1526
217	424	1521
218	425	1516
219	426	1511
220	427	1506
221	428	1502
222	429	1497
223	430	1492
224	432	1488
225	433	1484
226	435	1483
227	436	1479
228	438	1475
229	439	1470
230	440	1466
231	441	1461
232	442	1457
233	443	1452
234	444	1448
235	445	1443
236	447	1439
237	448	1436
238	450	1434
239	451	1430
240	452	1426
241	454	1422
242	455	1417
243	456	1413
244	457	1409
245	458	1406
246	460	1402
247	461	1398
248	462	1394
249	464	1392
250	465	1388
251	467	1386
252	468	1382
253	469	1378
254	470	1375
255	471	1371
256	473	1368
257	474	1364
258	475	1360
259	477	1357
260	478	1354
261	480	1353
262	482	1351
263	483	1347
264	484	1344
265	485	1340
266	486	1336
267	488	1333
268	489	1331
269	490	1327
270	492	1323
271	493	1321
272	495	1319
273	497	1318
274	499	1315
275	500	1312
276	501	1309
277	503	1306
278	504	1303
279	505	1300
280	506	1297
281	508	1295
282	510	1293
283	512	1291
284	513	1288
285	514	1284
286	515	1281
287	517	1278
288	518	1275
289	519	1272
290	521	1269
291	522	1266
292	524	1265
293	525	1262
294	527	1261
295	529	1258
296	530	1255
297	531	1253
298	533	1250
299	534	1247
300	536	1244
301	537	1242
302	539	1242
303	543	1243
304	544	1240
305	545	1237
306	547	1234
307	548	1231
308	549	1229
309	550	1226
310	552	1223
311	557	1228
312	559	1228
313	561	1227
314	563	1225
315	565	1224
316	569	1226
317	572	1227
318	574	1225
319	575	1223
320	577	1222
321	579	1220
322	582	1220
323	584	1219
324	586	1218
325	588	1216
326	590	1215
327	592	1213
328	594	1211
329	595	1208
330	596	1206
331	598	1204
332	600	1202
333	601	1199
334	602	1196
335	604	1194
